龐鍾璐,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龐鍾璐,ホウショウロ,ホーショーロ,2/5,*,ほ[うしヨ]うろ
龐炳勲,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龐炳勲,ホウヘイクン,ホーヘークン,4/6,*,ほ[うへい]くん
龐斗賢,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龐斗賢,ホウトケン,ホートケン,3/5,*,ほ[うと]けん
龐徳公,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龐徳公,ホウトクコウ,ホートクコー,4/6,*,ほ[うとく]こう
龐佳穎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龐佳穎,ホウカエイ,ホーカエー,3/5,*,ほ[うか]えい
龐万春,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龐万春,ホウバンシュン,ホーバンシュン,4/6,*,ほ[うばんし]ユん
龍鳳苑,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍鳳苑,リュウホウエン,リューホーエン,1/6,*,り]ユうほ[う]えん
龍魂会,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍魂会,リュウコンカイ,リューコンカイ,4/6,*,り[ユうこん]かい
龍鬚菜,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍鬚菜,ロンシユイツアイ,ロンシユイツアイ,6/8,*,ろ[んしゆいつ]あい
龍高寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍高寺,リュウコウジ,リューコージ,1/5,*,り]ユうこ[うじ
龍骨大,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍骨大,ヨンゴルテ,ヨンゴルテ,0/5,*,よ[んごるて
龍騎兵,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍騎兵,リュウキヘイ,リューキヘー,3/5,*,り[ユうき]へい
龍馬伝,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍馬伝,リョウマデン,リョーマデン,1/5,*,り]ヨうま]でん
龍飛雲,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍飛雲,リュウヒウン,リューヒウン,3/5,*,り[ユうひ]うん
龍風夢,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍風夢,ロンハンモン,ロンハンモン,4/6,*,ろ[んはん]もん
龍頭駅,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍頭駅,ヨンドゥエキ,ヨンドゥエキ,0/5,*,よ[んどウえき
龍頭橋,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍頭橋,リュウズバシ,リューズバシ,1/5,*,り]ユうず[ばし
龍頭寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍頭寺,リュウトウジ,リュートージ,1/5,*,り]ユうと[うじ
龍雲駅,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍雲駅,リョンウンエキ,リョンウンエキ,4/6,*,り[ヨんうん]えき
龍雲院,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍雲院,リュウウンイン,リューウンイン,1/6,*,り]ユううん]いん
龍雲滝,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍雲滝,リュウウンタキ,リューウンタキ,1/6,*,り]ユううん]たき
龍雲寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍雲寺,リョウウンジ,リョーウンジ,1/5,*,り]ヨうう[んじ
龍隆行,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍隆行,リュウタカユキ,リュータカユキ,4/6,*,り[ユうたか]ゆき
龍閑寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍閑寺,リュウカンジ,リューカンジ,3/5,*,り[ユうか]んじ
龍門駅,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍門駅,リュウモンエキ,リューモンエキ,4/6,*,り[ユうもん]えき
龍門滝,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍門滝,リュウモンダキ,リューモンダキ,1/6,*,り]ユうもん]だき
龍門村,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍門村,リュウモンムラ,リューモンムラ,1/6,*,り]ユうもん]むら
龍門山,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍門山,リュウモンザン,リューモンザン,1/6,*,り]ユうもん]ざん
龍門寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍門寺,リョウモンジ,リョーモンジ,1/5,*,り]ヨうも[んじ
龍遊駅,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍遊駅,ヨンユエキ,ヨンユエキ,3/5,*,よ[んゆ]えき
龍踏駅,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍踏駅,ヨンダプエキ,ヨンダプエキ,4/6,*,よ[んだぷ]えき
龍象寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍象寺,リュウゾウジ,リューゾージ,3/5,*,り[ユうぞ]うじ
龍豊駅,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍豊駅,リョンプンエキ,リョンプンエキ,4/6,*,り[ヨんぷん]えき
龍谷寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍谷寺,リュウコクジ,リューコクジ,0/5,*,り[ユうこくじ
龍護峰,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍護峰,リュウゴホウ,リューゴホー,3/5,*,り[ユうご]ほう
龍護寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍護寺,リョウゴンジ,リョーゴンジ,0/5,*,り[ヨうご[んじ
龍見寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍見寺,リュウケンジ,リューケンジ,3/5,*,り[ユうけ]んじ
龍蟠駅,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍蟠駅,リョンバンエキ,リョンバンエキ,4/6,*,り[ヨんばん]えき
龍虎鳳,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍虎鳳,リュウコホウ,リューコホー,1/5,*,り]ユうこ]ほう
龍虎山,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍虎山,リュウコザン,リューコザン,3/5,*,り[ユうこ]ざん
龍蔵院,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍蔵院,リュウゾウイン,リューゾーイン,4/6,*,り[ユうぞう]いん
龍蔵寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍蔵寺,リュウゾウジ,リューゾージ,0/5,*,り[ユうぞうじ
龍蓋寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍蓋寺,リュウガイジ,リューガイジ,3/5,*,り[ユうが]いじ
龍華駅,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍華駅,リュウカエキ,リューカエキ,3/5,*,り[ユうか]えき
龍華院,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍華院,リュウゲイン,リューゲーン,3/5,*,り[ユうげ]いん
龍華線,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍華線,リュウカセン,リューカセン,3/5,*,り[ユうか]せん
龍華教,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍華教,ヨンファギョ,ヨンファギョ,0/4,*,よ[んふア[ぎヨ
龍華寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍華寺,リュウゲジ,リューゲジ,4/4,*,り[ユう[げ]じ
龍華区,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍華区,リュウカク,リューカク,4/4,*,り[ユう[か]く
龍華会,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍華会,リュウゲエ,リューゲー,4/4,*,り[ユう[げ]え
龍草廬,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍草廬,リュウソウロ,リューソーロ,3/5,*,り[ユうそ]うろ
龍興山,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍興山,リュウコウザン,リューコーザン,4/6,*,り[ユうこう]ざん
龍興寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍興寺,リュウコウジ,リューコージ,5/5,*,り[ユうこ[う]じ
龍腹寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍腹寺,リュウフクジ,リューフクジ,0/5,*,り[ユうふくじ
龍美来,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍美来,リョウミク,リョーミク,2/4,*,り[ヨう]みく
龍穏寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍穏寺,リュウオンジ,リューオンジ,0/5,*,り[ユうおんじ
龍福院,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍福院,リュウフクイン,リューフクイン,4/6,*,り[ユうふく]いん
龍福寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍福寺,リョウフクジ,リョーフクジ,0/5,*,り[ヨうふ[くじ
龍祥寺,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍祥寺,リュウショウジ,リューショージ,0/5,*,り[ユうしヨ[うじ
龍神駅,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍神駅,リュウジンエキ,リュージンエキ,4/6,*,り[ユうじん]えき
龍神賞,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍神賞,リュウジンショウ,リュージンショー,5/6,*,り[ユうじんし]ヨう
龍神社,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍神社,リュウジンジャ,リュージンジャ,4/5,*,り[ユうじん]じヤ
龍神湖,1348,1348,8000,名詞,固有名詞,一般,*,*,*,龍神湖,リュウジンコ,リュージンコ,3/5,*,り[ユうじ]んこ
