んばめ,1345,1345,8000,名詞,一般,*,*,*,*,んばめ,ンバメ,ンバメ,0/*,*
んちゃん,1345,1345,8000,名詞,一般,*,*,*,*,んちゃん,ンチャン,ンチャン,1/*,*
んさん,1345,1345,8000,名詞,一般,*,*,*,*,んさん,ンサン,ンサン,0/*,*
んぐる,1345,1345,8000,名詞,一般,*,*,*,*,んぐる,ングル,ングル,1/*,*
をわり,1345,1345,10000,名詞,一般,*,*,*,*,をわり,ヲワリ,ヲワリ,0/*,*
をわ,1345,1345,10000,名詞,一般,*,*,*,*,をわ,ヲワ,ヲワ,1/*,*
をりえ,1345,1345,10000,名詞,一般,*,*,*,*,をりえ,ヲリエ,ヲリエ,1/*,*
をよし,1345,1345,10000,名詞,一般,*,*,*,*,をよし,ヲヨシ,ヲヨシ,0/*,*
をもと,1345,1345,10000,名詞,一般,*,*,*,*,をもと,ヲモト,ヲモト,0/*,*
をふさ,1345,1345,10000,名詞,一般,*,*,*,*,をふさ,ヲフサ,ヲフサ,0/*,*
をの,1351,1351,10000,名詞,固有名詞,人名,名,*,*,をの,ヲノ,ヲノ,1/*,*
をね,1345,1345,10000,名詞,一般,*,*,*,*,をね,ヲネ,ヲネ,1/*,*
をとや,1345,1345,10000,名詞,一般,*,*,*,*,をとや,ヲトヤ,ヲトヤ,0/*,*
をとめ,1345,1345,10000,名詞,一般,*,*,*,*,をとめ,ヲトメ,ヲトメ,0/*,*
をてい,1345,1345,10000,名詞,一般,*,*,*,*,をてい,ヲテイ,ヲテイ,1/*,*
をちま,1345,1345,10000,名詞,一般,*,*,*,*,をちま,ヲチマ,ヲチマ,1/*,*
をだまき,1345,1345,10000,名詞,一般,*,*,*,*,をだまき,ヲダマキ,ヲダマキ,0/*,*
をその,1345,1345,10000,名詞,一般,*,*,*,*,をその,ヲソノ,ヲソノ,0/*,*
をせん,1345,1345,10000,名詞,一般,*,*,*,*,をせん,ヲセン,ヲセン,0/*,*
をさめ,1345,1345,10000,名詞,一般,*,*,*,*,をさめ,ヲサメ,ヲサメ,0/*,*
をさむ,1345,1345,10000,名詞,一般,*,*,*,*,をさむ,ヲサム,ヲサム,0/*,*
をさだ,1345,1345,10000,名詞,一般,*,*,*,*,をさだ,ヲサダ,ヲサダ,1/*,*
をけさ,1345,1345,10000,名詞,一般,*,*,*,*,をけさ,ヲケサ,ヲケサ,0/*,*
をき,1345,1345,10000,名詞,一般,*,*,*,*,をき,ヲキ,ヲキ,1/*,*
をうね,1345,1345,10000,名詞,一般,*,*,*,*,をうね,ヲウネ,ヲウネ,0/*,*
をいき,1345,1345,10000,名詞,一般,*,*,*,*,をいき,ヲイキ,ヲイキ,0/*,*
ゑん,1345,1345,10000,名詞,一般,*,*,*,*,ゑん,ヱン,ヱン,1/*,*
ゑりの,1345,1345,10000,名詞,一般,*,*,*,*,ゑりの,ヱリノ,ヱリノ,1/*,*
ゑみ,1345,1345,10000,名詞,一般,*,*,*,*,ゑみ,ヱミ,ヱミ,1/*,*
ゑまひ,1345,1345,10000,名詞,一般,*,*,*,*,ゑまひ,ヱマヒ,ヱマヒ,1/*,*
ゑふ,1345,1345,10000,名詞,一般,*,*,*,*,ゑふ,ヱフ,ヱフ,1/*,*
ゑなよ,1345,1345,10000,名詞,一般,*,*,*,*,ゑなよ,ヱナヨ,ヱナヨ,1/*,*
ゑと,1345,1345,10000,名詞,一般,*,*,*,*,ゑと,ヱト,ヱト,1/*,*
ゑつ,1345,1345,10000,名詞,一般,*,*,*,*,ゑつ,ヱツ,ヱツ,1/*,*
ゑき,1345,1345,10000,名詞,一般,*,*,*,*,ゑき,ヱキ,ヱキ,1/*,*
ゑい,1345,1345,10000,名詞,一般,*,*,*,*,ゑい,ヱイ,ヱイ,1/*,*
ゑ,1345,1345,10000,名詞,一般,*,*,*,*,ゑ,ヱ,ヱ,1/*,*
ゐをり,1345,1345,10000,名詞,一般,*,*,*,*,ゐをり,ヰヲリ,ヰヲリ,0/*,*
ゐを,1345,1345,10000,名詞,一般,*,*,*,*,ゐを,ヰヲ,ヰヲ,1/*,*
ゐよ,1345,1345,10000,名詞,一般,*,*,*,*,ゐよ,ヰヨ,ヰヨ,1/*,*
